项目名称,区域,建筑面积（㎡）,房屋用途,户型,意向售价(万元),参考价(元/平方米),房源编码,代理中介名称,委托期限,发布时间
华盛新沙荟名庭（三期）,宝安,65.39,住宅,二房,380,49000,256815940511中原地产,中原地产代理（深圳）有限公司,2025-08-09 04:08:47~2025-10-09 04:10:47,2025-04-23
新安湖花园（新望阁新海阁）,宝安,81.92,住宅,二房,700,62000,255687539072中原地产,中原地产代理（深圳）有限公司,2025-07-20 10:07:16~2025-09-19 10:09:16,2025-07-20
七十四区商住楼5栋,宝安,62,住宅,二房,265,44500,253928434298链家,深圳链家房地产经纪有限公司,2025-07-08 12:07:54~2025-09-07 12:09:54,2025-04-08
馨园二期6栋,宝安,75.03,住宅,二房,380,45000,259846470507六六好房,深圳市六六好房网络科技有限公司,2025-06-24 04:06:33~2025-08-24 04:08:33,2025-02-08
七十四区商住楼5栋,宝安,66.51,住宅,二房,280,44500,257139276881中原地产,中原地产代理（深圳）有限公司,2025-06-28 02:06:29~2025-08-28 02:08:29,2025-03-28
福安楼一栋B座,宝安,79,住宅,二房,328,50000,257781017196乐有家,深圳市乐有家房产交易有限公司,2025-06-19 12:06:29~2025-08-19 12:08:29,2025-02-18
西海岸花园海逸阁,宝安,56.02,住宅,二房,360,57000,259424405219乐有家,深圳市乐有家房产交易有限公司,2025-07-03 10:07:34~2025-09-02 10:09:34,2025-03-13
中粮万福阁1栋,宝安,49.39,住宅,二房,385,82500,249499018992铭家地产,深圳市铭家房地产投资顾问有限公司,2024-10-11 09:10:16~,2024-11-30
兴华花园2栋,宝安,76.42,住宅,二房,275,42100,250615303608知恩地产,深圳知恩房地产经纪有限公司,2025-07-07 08:07:30~2025-09-06 08:09:30,2025-03-12
招商果岭花园6栋,宝安,74.43,住宅,二房,460,64700,250491323625胜景地产,深圳市胜景房地产咨询有限公司,2025-07-05 06:07:03~2025-09-04 06:09:03,2025-05-12
黄金大厦1栋,宝安,53.23,住宅,二房,380,65400,251819404201乐有家,深圳市乐有家房产交易有限公司,2025-07-13 06:07:57~2025-09-12 06:09:57,2025-05-24
登科花园B座魁星阁,宝安,55.09,住宅,二房,365,53900,252357783709六六好房,深圳市六六好房网络科技有限公司,2025-07-31 07:07:41~2025-09-30 07:09:41,2025-07-31
