项目名称,区域,建筑面积（㎡）,房屋用途,户型,意向售价(万元),参考价(元/平方米),房源编码,代理中介名称,委托期限,发布时间
世外桃源10栋,宝安,133.35,住宅,三房,690,48000,255227830786乐有家,深圳市乐有家房产交易有限公司,2025-07-07 08:07:08~2025-09-06 08:09:08,2025-05-09
31区A5栋,宝安,93.36,住宅,三房,440,--,258347474970乐有家,深圳市乐有家房产交易有限公司,2025-06-18 10:06:06~2025-08-18 10:08:06,2025-06-18
海湾明珠花园一期4栋,宝安,90.53,住宅,三房,550,54000,257779582213乐有家,深圳市乐有家房产交易有限公司,2025-07-13 04:07:42~2025-09-12 04:09:42,2025-03-22
华盛新沙荟名庭（三期）,宝安,65.39,住宅,二房,380,49000,256815940511中原地产,中原地产代理（深圳）有限公司,2025-08-09 04:08:47~2025-10-09 04:10:47,2025-04-23
新安湖花园（新望阁新海阁）,宝安,81.92,住宅,二房,700,62000,255687539072中原地产,中原地产代理（深圳）有限公司,2025-07-20 10:07:16~2025-09-19 10:09:16,2025-07-20
星河丹堤花园E区1栋,宝安,146.34,住宅,三房,1350,72200,256959169674中原地产,中原地产代理（深圳）有限公司,2025-07-06 08:07:37~2025-09-05 08:09:37,2025-03-12
桃源盛景园7栋,宝安,87.83,住宅,三房,480,53000,253973258264链家,深圳链家房地产经纪有限公司,2025-06-25 06:06:54~2025-08-25 06:08:54,2025-04-25
公馆一八六六花园（南区）2栋,宝安,89.76,住宅,三房,698,75500,253609583209乐有家控股,深圳市乐有家控股集团有限公司,2025-06-24 06:06:38~2026-06-25 06:06:38,2025-06-24
七十四区商住楼5栋,宝安,62,住宅,二房,265,44500,253928434298链家,深圳链家房地产经纪有限公司,2025-07-08 12:07:54~2025-09-07 12:09:54,2025-04-08
天骄世家10栋,宝安,79.6,住宅,三房,450,60200,257171597123乐有家,深圳市乐有家房产交易有限公司,2025-06-21 10:06:48~2025-08-21 10:08:48,2025-03-23
馨园二期6栋,宝安,75.03,住宅,二房,380,45000,259846470507六六好房,深圳市六六好房网络科技有限公司,2025-06-24 04:06:33~2025-08-24 04:08:33,2025-02-08
七十四区商住楼5栋,宝安,66.51,住宅,二房,280,44500,257139276881中原地产,中原地产代理（深圳）有限公司,2025-06-28 02:06:29~2025-08-28 02:08:29,2025-03-28
福安楼一栋B座,宝安,79,住宅,二房,328,50000,257781017196乐有家,深圳市乐有家房产交易有限公司,2025-06-19 12:06:29~2025-08-19 12:08:29,2025-02-18
西海岸花园海逸阁,宝安,56.02,住宅,二房,360,57000,259424405219乐有家,深圳市乐有家房产交易有限公司,2025-07-03 10:07:34~2025-09-02 10:09:34,2025-03-13
中粮万福阁1栋,宝安,49.39,住宅,二房,385,82500,249499018992铭家地产,深圳市铭家房地产投资顾问有限公司,2024-10-11 09:10:16~,2024-11-30
兴华花园2栋,宝安,76.42,住宅,二房,275,42100,250615303608知恩地产,深圳知恩房地产经纪有限公司,2025-07-07 08:07:30~2025-09-06 08:09:30,2025-03-12
招商果岭花园6栋,宝安,74.43,住宅,二房,460,64700,250491323625胜景地产,深圳市胜景房地产咨询有限公司,2025-07-05 06:07:03~2025-09-04 06:09:03,2025-05-12
书香门第上河坊广场1栋,宝安,56.09,住宅,二房,320,73500,255561744967乐有家控股,深圳市乐有家控股集团有限公司,2025-08-08 04:08:47~2025-10-08 04:10:47,2025-04-09
绿海名苑1栋,宝安,59.84,住宅,二房,320,61200,252994435592乐有家,深圳市乐有家房产交易有限公司,2025-07-19 08:07:43~2025-09-18 08:09:43,2025-03-20
凤凰雅居1栋,宝安,48.92,住宅,二房,265,64700,251595039273乐有家,深圳市乐有家房产交易有限公司,2025-06-30 06:06:29~2025-08-30 06:08:29,2025-03-12
黄金大厦1栋,宝安,47.59,住宅,二房,300,65400,252146924259乐有家,深圳市乐有家房产交易有限公司,2025-06-21 02:06:36~2025-08-21 02:08:36,2025-02-19
恒安花园B栋,宝安,81.59,住宅,二房,648,73800,255905610649中原地产,中原地产代理（深圳）有限公司,2025-07-28 06:07:14~2025-09-27 06:09:14,2025-04-01
锦绣花园B栋,宝安,75.7,住宅,二房,328,38600,251151599228乐有家控股,深圳市乐有家控股集团有限公司,2025-08-11 02:08:56~2025-10-11 02:10:56,2025-04-11
富通蟠龙居D栋,宝安,65.94,住宅,二房,315,57000,255788526534中原地产,中原地产代理（深圳）有限公司,2025-08-05 08:08:03~2025-10-05 08:10:03,2025-04-10
